MODULE	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	accession	sample_ids	p_wild_imp	N_wild_imp	p_biobest_imp	N_biobest_imp	p_rufocinctus	N_rufocinctus	p_kopper_imp	N_kopper_imp	p_vagans	N_vagans	p_ternarius	N_ternarius
De novo pyrimidine biosynthesis, glutamine (+ PRPP) => UMP	30.358011714783938	1.2538430021264381e-5	4.2392387046938043e-4	wild_imp,biobest_imp,kopper_imp,ternarius	M00051	Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_BP_2,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_CM_1,Br_CM_1,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bi_BB3_1,Bi_FG_1,Bi_ML_2	0.9166666666666666	12	1	6	0.16666666666666666	6	1	6	0	5	1	4
Citrate cycle (TCA cycle, Krebs cycle)	30.25957471347966	1.3111047540290115e-5	4.2392387046938043e-4	wild_imp,rufocinctus,kopper_imp,vagans	M00009	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_1,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Br_CM_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1	0.9166666666666666	12	0	6	1	6	1	6	1	5	0.25	4
Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	30.25957471347966	1.3111047540290115e-5	4.2392387046938043e-4	wild_imp,rufocinctus,kopper_imp,vagans	M00011	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_1,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_FG_1,Bi_MB_1,Bi_PI_1,Br_CM_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_FG_2,Bi_KP2_1,Bi_KP3_1	0.9166666666666666	12	0	6	1	6	1	6	1	5	0.25	4
C5 isoprenoid biosynthesis, mevalonate pathway	27.26391337855585	5.067319607836075e-5	8.647794998870231e-4	wild_imp,biobest_imp,kopper_imp,ternarius	M00095	Bi_BP_1,Bi_FG_2,Bi_KP1_1,Bi_KP1_2,Bi_KP3_2,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_2,Bi_BP_2,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_PI_1,Bi_PI_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_BB3_1,Bi_CM_1,Br_CM_1,Bt_CM_1,Bt_MB_2,Bt_ML_1,Bt_ML_2,Bi_ML_2	0.8333333333333334	12	1	6	0.16666666666666666	6	1	6	0	5	1	4
Cytochrome c oxidase, cbb3-type	26.79947664280075	6.240676803308415e-5	8.647794998870231e-4	wild_imp,rufocinctus,vagans	M00156	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1	0.5	12	0	6	1	6	0	6	1	5	0	4
Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	26.79947664280075	6.240676803308415e-5	8.647794998870231e-4	wild_imp,rufocinctus,vagans	M00535	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1	0.5	12	0	6	1	6	0	6	1	5	0	4
Pantothenate biosynthesis, valine/L-aspartate => pantothenate	26.79947664280075	6.240676803308415e-5	8.647794998870231e-4	wild_imp,rufocinctus,vagans	M00119	Br_CM_2,Br_FG_1,Br_FG_2,Br_ML_1,Br_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_MB_2,Bi_ML_1,Bi_ML_2,Br_CM_1	0.5	12	0	6	1	6	0	6	1	5	0	4
Cytochrome o ubiquinol oxidase	23.990132336654025	2.1806294427444714e-4	0.0026440131993276717	wild_imp,kopper_imp	M00417	Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_CM_1,Br_ML_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_2,Bi_KP3_2,Bi_BP_2,Bi_CM_1,Bi_FG_2,Bi_KP2_1,Bi_KP3_1	0.8333333333333334	12	0	6	0.3333333333333333	6	1	6	0	5	0.25	4
Dissimilatory nitrate reduction, nitrate => ammonia	22.950558689321518	3.449921389321985e-4	0.003718248608491473	wild_imp,biobest_imp,kopper_imp,vagans	M00530	Bi_BP_1,Bi_BB1_1,Bi_BB1_2,Bi_BB2_1,Bi_BB2_2,Bi_BB3_1,Bi_BB3_2,Bi_BP_2,Bi_CM_1,Bi_CM_2,Bi_FG_2,Bi_MB_2,Bi_ML_1,Bi_PI_1,Bi_PI_2,Bt_CM_1,Bt_ML_2,Bv_BP_2,Bv_ML_1,Bv_ML_2,Bv_PI_1,Bv_PI_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_KP3_2	0.75	12	1	6	0	6	1	6	1	5	0.5	4
Cytochrome bd ubiquinol oxidase	21.919251508052017	5.424309086031364e-4	0.0052274635306505425	wild_imp,kopper_imp	M00153	Bi_BP_1,Bi_CM_2,Bi_FG_1,Bi_MB_1,Bi_MB_2,Bi_ML_1,Bi_ML_2,Bi_PI_1,Br_FG_1,Bv_BP_2,Bv_PI_2,Bi_BP_2,Bi_CM_1,Bi_FG_2,Br_CM_1,Bt_MB_2,Bi_KP1_1,Bi_KP1_2,Bi_KP2_1,Bi_KP2_2,Bi_KP3_1,Bi_KP3_2	0.9166666666666666	12	0	6	0.3333333333333333	6	1	6	0.4	5	0.25	4
