sample_id,raw_reads,post_fastqc,post_hostfiltering,number_removed
Bi_BB1_1,62190501,61820535,11535512,50285023
Bi_BB1_2,55032731,54404000,9651536,44752464
Bi_BB2_1,64260584,63878606,22297418,41581188
Bi_BB2_2,68450718,67977323,12081709,55895614
Bi_BB3_1,66207320,65827964,57254409,8573555
Bi_BB3_2,79925949,79394609,11048720,68345889
Bi_KP1_1,72187857,71703616,12712883,58990733
Bi_KP1_2,64718337,64304690,12104140,52200550
Bi_KP2_1,62822945,62454405,10228598,52225807
Bi_KP2_2,55828990,55042040,19470073,35571967
Bi_KP3_1,58942830,58091440,11401400,46690040
Bi_KP3_2,74778477,74280286,21528165,52752121
Bi_BP_1,70779507,70295490,19656975,50638515
Bi_BP_2,77008916,76505684,20630184,55875500
Bi_CM_1,67939236,67335764,34298389,33037375
Bi_CM_2,73278915,72849724,13827171,59022553
Bi_FG_1,52119305,51890680,47138957,4751723
Bi_FG_2,72634451,72214688,18035888,54178800
Bi_MB_1,56739649,56517493,44813337,11704156
Bi_MB_2,56692087,56310980,11765967,44545013
Bi_ML_1,71843582,71313005,21648269,49664736
Bi_ML_2,76259914,75560000,46648266,28911734
Bi_PI_1,67367403,66955259,11903021,55052238
Bi_PI_2,56232647,55572695,7781872,47790823
Br_CM_1,59219988,58901137,34131910,24769227
Br_CM_2,56153723,55402961,18618708,36784253
Br_FG_1,71968010,71635808,17323104,54312704
Br_FG_2,75484534,75039674,21859809,53179865
Br_ML_1,62834607,62460157,17029962,45430195
Br_ML_2,60530566,60217243,16720959,43496284
Bt_CM_1,51483778,50882665,2346994,48535671
Bt_MB_2,71917375,71442702,52642251,18800451
Bt_ML_1,68562988,68154002,3090523,65063479
Bt_ML_2,75149438,74539152,2666960,71872192
Bv_BP_2,69273196,68803200,21604229,47198971
Bv_ML_1,71577467,71135252,22737285,48397967
Bv_ML_2,70435883,69958573,19946307,50012266
Bv_PI_1_84,55599795,54902161,16995927,37906234
Bv_PI_2,71044421,70550466,19976877,50573589
