user_genome,domain,phylum,class,order,family,genus,species
concoct_Bi_BB1_1_bin_28,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp024104275
concoct_Bi_BB1_1_bin_47,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
concoct_Bi_BB1_1_bin_8_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus panisapium
concoct_Bi_BB1_2_bin_34,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium sp024104275
concoct_Bi_BB2_1_bin_35,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus bombicola
concoct_Bi_BB2_2_bin_3.fa,Archaea,,,,,,
concoct_Bi_BB2_2_bin_29_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
concoct_Bi_BB3_1_bin_27_sub,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium bohemicum
concoct_Bi_BP_1_bin_25_sub,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructobacillus,Fructobacillus tropaeoli
concoct_Bi_BP_2_bin_21,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
concoct_Bi_BP_2_bin_2_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Snodgrassella,Snodgrassella communis
concoct_Bi_CM_1_bin_37,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
concoct_Bi_CM_2_bin_38,Bacteria,Actinomycetota,Actinomycetia,Actinomycetales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium
concoct_Bi_FG_1_bin_0_sub,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Schmidhempelia,Schmidhempelia bombi
